name;price;image_url;description
NOW Foods, высокоактивный витамин D3, 5000 МЕ, 120 капсул;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00372/g/88.jpg;Капсулы с витамином D3 от компании NOW® предоставляют этот важнейший витамин в легкоусвояемой форме капсулы с жидкостью. Обычно витамин D попадает в организм из еды либо вырабатывается кожей под воздействием солнечных ультрафиолетовых лучей. Однако в еде он содержится в недостаточном количестве. Поскольку многие люди стремятся избегать воздействия солнца, то необходимость в дополнительном приёме витамина D становится всё более насущной. Витамин D3 необходим для нормального развития костей и связок у детей, поддержания здоровья опорно-двигательного аппарата у взрослых. Холекальциферол принимает непосредственное участие в усвоении кальция и фосфора — важнейших для костной ткани макроэлементов. От уровня витамина D3 в крови также зависит состояние кожи, волос, ногтей и зубов. 
21st Century, One Daily, Maximum, 100 таблеток;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27304/g/46.jpg;Мультивитаминная, мультиминеральная добавка. Принимать по одной капсуле в сутки. Состав: Витамин А, Витамин С, Витамин D3, Витамин E, Витамин K, Тиамин (в виде мононитрата тиамина, B-1), Рибофлавин (витамин B2),Ниацин (в виде никотинамида),Витамин В6, Фолиевая кислотa (400 мкг фолиевой кислоты),Bитамин B12, Биотин,Пантотеновая кислота (в виде d-пантотената кальция),Кальций (в виде карбоната кальция и фосфата дикальция), Железо (в виде фумарата железа), Фосфор (в виде дикальций фосфата), Йод (в виде йодида калия), Магний (в виде оксида магния), Цинк (в виде оксида цинка), Селен (в виде селената натрия), 
Медь (в виде сульфата меди), Марганец (в виде сульфата марганца), Хром (в виде хлорида хрома), Молибден (в виде молибдата натрия), Хлорид (в виде хлорида калия), Калий (в виде хлорида калия), Бор (в виде бората), Олово (в виде хлорида олова), Кремний (в виде диоксида кремния),Ванадий (в виде метаванадата натрия).
NOW Foods, рыбий жир с омега-3, 1000 мг, 180 ЭПК, 120 ДГК, 100 капсул;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01650/g/38.jpg;Рыбий жир с омега-3, 1000 мг, 180 ЭПК, 120 ДГК, 100 капсул. Принимать по 2 капсулы два раза в день во время еды. Жирные кислоты омега-3 это тип необходимых организму полезных жиров. Часто они естественным образом содержатся в продуктах, особенно в рыбе. Здоровый сбалансированный 
рацион должен содержать ежедневную дозу омега-3. Если вы не получаете достаточное количество омега-3 только из пищи, ежедневная добавка может стать правильным решением. Добавка с омега-3 может обеспечить достаточное количество этих полезных жиров, которые имеют ряд потенциально полезных преимуществ для здоровья сердца. 
NOW Foods, высокоактивный витамин D3, 5000 МЕ, 240 капсул;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00373/g/106.jpg;Капсулы с витамином D3 от компании NOW® предоставляют этот важнейший витамин в легкоусвояемой форме капсулы с жидкостью. Обычно витамин D попадает в организм из еды либо вырабатывается кожей под воздействием солнечных ультрафиолетовых лучей. Однако в еде он содержится в недостаточном количестве. Поскольку многие люди стремятся избегать воздействия солнца, то необходимость в дополнительном приёме витамина D становится всё более насущной. Витамин D3 необходим для нормального развития костей и связок у детей, поддержания здоровья опорно-двигательного аппарата у взрослых. Холекальциферол принимает непосредственное участие в усвоении кальция и фосфора — важнейших для костной ткани макроэлементов. От уровня витамина D3 в крови также зависит состояние кожи, волос, ногтей и зубов. 
NOW Foods, витамин D3, высокоактивный, 2000 МЕ, 120 капсул;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00367/v/57.jpg;Капсулы с витамином D3 от компании NOW® предоставляют этот важнейший витамин в легкоусвояемой форме капсулы с жидкостью. Обычно витамин D попадает в организм из еды либо вырабатывается кожей под воздействием солнечных ультрафиолетовых лучей. Однако в еде он содержится в недостаточном количестве. Поскольку многие люди стремятся избегать воздействия солнца, то необходимость в дополнительном приёме витамина D становится всё более насущной. Витамин D3 необходим для нормального развития костей и связок у детей, поддержания здоровья опорно-двигательного аппарата у взрослых. Холекальциферол принимает непосредственное участие в усвоении кальция и фосфора — важнейших для костной ткани макроэлементов. От уровня витамина D3 в крови также зависит состояние кожи, волос, ногтей и зубов. 
NOW Foods, витамин D3, высокоактивный, 2000 МЕ, 240 капсул;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00377/v/56.jpg;Капсулы с витамином D3 от компании NOW® предоставляют этот важнейший витамин в легкоусвояемой форме капсулы с жидкостью. Обычно витамин D попадает в организм из еды либо вырабатывается кожей под воздействием солнечных ультрафиолетовых лучей. Однако в еде он содержится в недостаточном количестве. Поскольку многие люди стремятся избегать воздействия солнца, то необходимость в дополнительном приёме витамина D становится всё более насущной. Витамин D3 необходим для нормального развития костей и связок у детей, поддержания здоровья опорно-двигательного аппарата у взрослых. Холекальциферол принимает непосредственное участие в усвоении кальция и фосфора — важнейших для костной ткани макроэлементов. От уровня витамина D3 в крови также зависит состояние кожи, волос, ногтей и зубов. 
Doctor's Best, магний с высокой степенью усвоения, 120 таблеток (100 мг в 1 таблетке);;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00025/g/107.jpg; Магний с высокой степенью усвоения, 200 мг. Магний с высокой усвояемостью от Doctor's Best помогает справляться с различными задачами и отвечает за многие функции организма. Специализированная формула с магнием обеспечивает необходимую поддержку здоровья мышц, нервной системы, качества сна и хорошего настроения. Science-Based Nutrition™™ Лизинат и глицинат Полностью хелатная форма Расслабление мышц и поддержка сна Albion® Minerals. Пищевая добавка Веганский продукт Без ГМО, глютена и сои. Магний необходим для работы 600 ферментных систем, поддерживающих биохимические функции. Усваивается до 6 раз лучше, чем другие формы магния Хелатная технология TRAACS® Oт Albion. 
Source Naturals, Ultra-Mag, 120 таблеток;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27304/g/46.jpg;ULTRA-MAG Ультра Маг -магний с витамином В6. Source Naturals, 120 таблеток. Высокоэффективный комплекс с магнием Поддерживает состояние мышц и деятельность нервной системы Комплекс Ultra-Mag™ имеет сбалансированный состав компонентов, которые хорошо усваиваются и быстро всасываются организмом.  Магний является важным производства и сохранения энергии (АТФ). Он расслабляет мышцы, активирует более 300 ключевых метаболических ферментов, способствует здоровому уровню минералов в костях и зубах, и регулирует электрическую активность в нервных клетках. Cостав:
Витамин В6 (в виде гидрохло рида пиридоксина), 30 мг, 1765%
Магний (в виде цитрата маг ния, комплекса янтарной кис поты, комплексов глицината, малата и таурината) 400 мг, 95%, Натрий 5 мг.
Swanson, Комплекс тройного магния, 400 мг, 100 веганских капсул;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv01808/g/56.jpg;Тройной комплекс магния 400 mg. 100 капсул. Магния оксид - применяется при гиперацидности желудочного сока, желудочно-пищеводного рефлюкса, эзофагита, гастрита, дуоденита, панкреатита, эрозивно-язвенного поражения верхних отделов ЖКТ, запора, отравления кислотами, оксалатного уролитиаза- профилактика). Магния цитрат - применяется для восполнения дефицита магния в организме, для снятия мышечных спазмов и болей. Также используется для лечения депрессии и нарушения сна. Иногда используется в качестве слабительное средства перед операцией или колоноскопией.
Магния аспарат - снижает утомляемость, повышает мышечную активность, улучшает работу миокарда, регулирует сердечный ритм.  
Swanson, комплекс с тремя формами магния, 400 мг, 30 веганских капсул;;https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11243/g/24.jpg;Тройной комплекс магния 400 mg. 30 капсул. Магния оксид - применяется при гиперацидности желудочного сока, желудочно-пищеводного рефлюкса, эзофагита, гастрита, дуоденита, панкреатита, эрозивно-язвенного поражения верхних отделов ЖКТ, запора, отравления кислотами, оксалатного уролитиаза- профилактика). Магния цитрат - применяется для восполнения дефицита магния в организме, для снятия мышечных спазмов и болей. Также используется для лечения депрессии и нарушения сна. Иногда используется в качестве слабительное средства перед операцией или колоноскопией.
Магния аспарат - снижает утомляемость, повышает мышечную активность, улучшает работу миокарда, регулирует сердечный ритм.  
